date,region,product,channel,sales,profit,units
2026-01-03,North,Laptop,Online,12800,2450,16
2026-01-05,South,Monitor,Retail,5400,940,18
2026-01-06,West,Keyboard,Online,2100,520,42
2026-01-08,East,Laptop,Partner,9800,1680,12
2026-01-12,North,Monitor,Retail,7600,1290,24
2026-01-15,South,Keyboard,Online,3200,760,64
2026-01-18,West,Laptop,Partner,14200,2860,17
2026-01-21,East,Monitor,Online,6900,1180,23
2026-01-24,North,Keyboard,Retail,2500,610,50
2026-01-27,South,Laptop,Partner,11800,2120,14
2026-02-02,West,Monitor,Online,8300,1510,27
2026-02-04,East,Keyboard,Retail,1900,430,38
2026-02-08,North,Laptop,Partner,15600,3180,19
2026-02-11,South,Monitor,Online,7200,1240,25
2026-02-14,West,Keyboard,Retail,2800,690,56
2026-02-18,East,Laptop,Online,13400,2570,16
2026-02-21,North,Monitor,Partner,6100,1010,20
2026-02-25,South,Keyboard,Retail,2300,510,46
2026-03-01,West,Laptop,Online,16800,3460,21
2026-03-04,East,Monitor,Partner,7900,1390,26
2026-03-08,North,Keyboard,Online,3600,870,72
2026-03-12,South,Laptop,Retail,10400,1790,13
2026-03-16,West,Monitor,Partner,9100,1660,30
2026-03-20,East,Keyboard,Online,3000,740,60
